original,ocr,visionOcr,Tessaract%,Vision%
"ශ්‍රීලංකා රජය සහ විදෙස්‌ රජයන්‌/ අස්ථිත්‌ව අතර සන්නිවේදන මාධ්‍යය
2.1 විදෙස්‌ රජයන්‌ සහ අස්ථිත්ව සමඟ සිදු කරනු ලබන සියලුම සන්නිවේදන, මූලික වශයෙන්‌, පහත

සදහන්‌ කරුණුවලට යටත්ව විදේශ කටයුතු අමාත්‍යාංශය මඟින්‌ යොමු කළ යුතු ය:

2.1.1 ශ්‍රී ලංකාව නියෝජනය කරමින්‌ විදෙස්‌ රජයන්‌ සමඟ පවන්වනු ලබන සාකච්ඡා හෝ
ප්‍රතිපත්තිමය ගැටලු හා සම්බන්ධ වන සියලුම සන්නිවේදන මෙන්ම එම ආකාරයේ
සන්නිවේදන නොවන නමුත්‌ ඒ දක්වා වර්ධනය විය හැකි සන්නිවේදන විදේශ කටයුතු
අමාත්‍යාංශය හරහා පමණක්‌ සිදු කළ යුතු ය.","ශ්‍රී ලංකා රජය සහ විදෙස්‌ රජයන්‌/ අස්ථික්ව අතර සන්නිවේදන මාධ්‍යය
2.1 විදෙස්‌ රජයන්‌ සහ අස්ථිත්ව සමභ සිදු කරනු ලබන සියලුම සන්නිවේදන, මූලික වශයෙන්‌, පහත

සඳහන්‌ කරුණුවලට යටත්ව විදේශ කටයුතු අමාත්‍යාංශය මඟින්‌ යොමු කළ යුතු ය:

211 ශ්‍රී ලංකාව නියෝජනය කරමින්‌ විදෙස්‌ රජයන්‌ සමහ පවත්වනු ලබන සාකච්ඡා හෝ
ප්‍රතිපන්තිමය ගැටලු හා සම්බන්ධ වන සියලුම සන්නිවේදන මෙන්ම එම ආකාරයේ
සන්නිවේදන නොවන නමුත්‌ ඒ දක්වා වර්ධනය විය හැකි සන්නිවේදන විදේශ කටයුතු
අමාත්‍යාංශය හරහා පමණක්‌ සිදු කළ යුතු ය.","ශ්‍රී ලංකා රජය සහ විදෙස් රජයන්/ අස්ථිත්ව අතර සන්නිවේදන මාධ්‍යය
2.1
විදෙස් රජයන් සහ අස්ථිත්ව සමඟ සිදු කරනු ලබන සියලුම සන්නිවේදන, මූලික වශයෙන්, පහත
සදහන් කරුණු වලට යටත්ව විදේශ කටයුතු අමාත්‍යාංශය මඟින් යොමු කළ යුතු ය:
2.1.1 ශ්‍රී ලංකාව නියෝජනය කරමින් විදෙස් රජයන් සමඟ පවත්වනු ලබන සාකච්ඡා හෝ
ප්‍රතිපත්තිමය ගැටලු හා සම්බන්ධ වන සියලුම සන්නිවේදන මෙන්ම එම ආකාරයේ
සන්නිවේදන නොවන නමුත් ඒ දක්වා වර්ධනය විය හැකි සන්නිවේදන විදේශ කටයුතු
අමාත්‍යාංශය හරහා පමණක් සිදු කළ යුතු ය.",76.96,96.68
"2.1.2 ශ්‍රී ලංකාවේ දේශීය වශයෙන්‌ දූත මණ්ඩලයක්‌ පිහිටුවා නොමැති හෝ වෙනත්‌ රටක පිහිටි
ශ්‍රී ලංකාවේ දූත මණ්ඩලයක්‌ මඟින්‌ නියෝජනය නොකරනු ලබන විදෙස්‌ රජයක්‌ සමඟ 
කිසිදු ආකාරයක සන්නිවේදනයක්‌ විදේශ කටයුතු අමාත්‍යාංශය හැර වෙනත්‌ කිසිදු රාජ්‍ය
ආයතනයක්‌ මගින්‌ සෘජුව ඉදිරිපත්‌ නොකළ යුතු ය.","2.1.2 ශ්‍රී ලංකාවේ දේශීය වශයෙන්‌ දුත මණ්ඩලයක්‌ පිහිටුවා නොමැති හෝ වෙනක්‌ රටක 883
ශ්‍රී ලංකාවේ දූත මණ්ඩලයක්‌ මගින්‌ නියෝජනය නොකරනු ලබන විදෙස්‌ රජයක්‌ සමහ
කිසිදු ආකාරයක සන්නිවේදනයක්‌ විදේශ කටයුතු சவலை හැර වෙනත්‌ කිසිදු රාජ්‍ය
ආයතනයක්‌ මගින්‌ සෘජුව ඉදිරිපත්‌ නොකළ යුතු ය.","2.1.2 ශ්‍රී ලංකාවේ දේශීය වශයෙන් දූත මණ්ඩලයක් පිහිටුවා නොමැති හෝ වෙනත් රටක පිහිටි
ශ්‍රී ලංකාවේ දූත මණ්ඩලයක් මඟින් නියෝජනය නොකරනු ලබන විදෙස් රජයක් සමඟ
කිසිදු ආකාරයක සන්නිවේදනයක් විදේශ කටයුතු අමාත්‍යාංශය හැර වෙනත් කිසිදු රාජ්‍ය
ආයතනයක් මඟින් ඍජුව ඉදිරිපත් නොකළ යුතු ය.",43.14,92.28
original,ocr,visionOcr,Tessaract%,Vision%
"ශ්‍රී ලංකා ජනාධිපති


අලුත්‌ අවුරුදු පණිවිඩය

නැවූම්‌ බලාපොරොත්තු සහ ඒවා සඵල කර ගැනීමේ අධිෂ්ඨානය සමග සිංහල දෙමළ අලුත්‌
අවුරුදු උදාව පිළිගැනීම අපේ සංස්කෘතියෙහි අගනා සම්ප්‍රදායකි.","॥
ශ්‍රී ලංකා ජනාධිපති
இலங்கை சனாதிபதி
President of Sti Lanka
අලුත්‌ අවුරුදු පණිවිඩය
නැවුම්‌ බලාපොරොත්තු සහ ඒවා සඵල කර ගැනීමේ අධිෂ්ඨානය සමග සිංහල දෙමළ අලුත්‌
අවූරුදු උදාව පිළිගැනීම අපේ සංස්කෘතියෙහි අගනා සම්ප්‍රදායකි.","ශ්‍රී ලංකා ජනාධිපති
இலங்கை சனாதிபதி
President of Sri Lanka
අලුත් අවුරුදු පණිවිඩය
නැවුම් බලාපොරොත්තු සහ ඒවා සඵල කර ගැනීමේ අධිෂ්ඨානය සමග සිංහල දෙමළ අලුත්
අවුරුදු උදාව පිළිගැනීම අපේ සංස්කෘතියෙහි අගනා සම්ප්‍රදායකි.",88.27,84.24
"පසුගිය වසරේ අවුරුදු උදාව සමයේ රටේ පැවති අයහපත්‌ සෞඛ්‍ය පසුබිම ඊට බාධා කළද,
පුරාණ චාරිත්‍ර වාරිත්‍රවලට මුල්තැන දෙමින්‌ සෞඛ්‍ය උපදෙස්වලට ද අනුගතව අලුත්‌ අවුරුදු
ප්‍රීතිය භුක්ති විඳීමට පසුබිම මේ වසරේ අප සියලු දෙනා එක්ව සකසා ගෙන තිබේ.","පසුගිය වසරේ අවුරුදූ උදාව සමයේ රටේ පැවති අයහපත්‌ සෞඛ්‍ය පසුබිම ඊට බාධා කළද,
පුරාණ චාරිත්‍ර 869660 මුල්තැන දෙමින්‌ සෞඛ්‍ය උපදෙස්වලට ද අනුගතව අලුත්‌ අවුරුදු
ප්‍රීතිය භුක්ති විඳීමට පසුබිම මේ වසරේ අප සියලු දෙනා එක්ව සකසා ගෙන තිබේ.","පසුගිය වසරේ අවුරුදු උදාව සමයේ රටේ පැවති අයහපත් සෞඛ්‍ය පසුබිම ඊට බාධා කළද,
පුරාණ චාරිත්‍ර වාරිත්‍රවලට මුල් තැන දෙමින් සෞඛ්‍ය උපදෙස්වලට ද අනුගතව අලුත් අවුරුදු
ප්‍රීතිය භුක්ති විඳීමට පසුබිම මේ වසරේ අප සියලු දෙනා එක්ව සකසා ගෙන තිබේ.",95.82,99.13
"එය අලුත්‌ අවුරුදු උදාව දෙස මහත්‌ උද්යෝගයෙන්‌ බලා සිටීන කුඩා දු දරුවන්ගේ සේම සියලු
රටවැසියන්ගේ ද අපේක්ෂා සැබෑවීමකි.","එය අලුත්‌
අවුරුදු උදාව දෙස මහත්‌ උද්යෝගයෙන්‌ බලා සිටින කුඩා දු දරුවන්ගේ සේම සියලු
රටවැසියන්ගේ ද අපේක්ෂා සැබෑවීමකි.","එය අලුත්
අවුරුදු උදාව දෙස මහත් උද්යෝගයෙන් බලා සිටින කුඩා දූ දරුවන්ගේ සේම සියලු
රට වැසියන්ගේ ද අපේක්ෂා සැබෑවීමකි.",98.25,95.58
සිංහල දෙමළ අලුත්‌ අවුරුද්ද අපේ සංස්කෘතික මහා මංගල්‍යයයි.,සිංහල දෙමළ අලුත්‌ අවුරුද්ද අපේ සංස්කෘතික මහා මංගල්‍යයයි.,සිංහල දෙමළ අලුත් අවුරුද්ද අපේ සංස්කෘතික මහා මංගල්‍යයයි.,100.0,99.1
"රටවැසියන්‌ එකම
නැකතකට අලුත්‌ අවුරුදු චාරිත්‍ර ඉටුකිරීමෙන්‌ ලැබුවා වූ වසරේ සෞභාග්‍යය උදාවනු ඇතැයි
අප සිත්‌ සතන්හි බලවත්‌ විශ්වාසයක්‌ පැලපදියම්ව තිබේ.","රටවැසියන්‌ එකම
'නැකතකට අලුත්‌ අවුරුදු චාරිත්‍ර ඉටුකිරීමෙන්‌ ලැබුවා වූ වසරේ සෞභාග්‍යය උදාවනු ඇතැයි
අප සිත්‌ සතන්හි බලවත්‌ විශ්වාසයක්‌ පැලපදියම්ව තිබේ.","රට වැසියන් එකම
නැකතකට අලුත් අවුරුදු චාරිත්‍ර ඉටු කිරීමෙන් ලැබුවා වූ වසරේ සෞභාග්‍යය උදාවනු ඇතැයි
අප සිත් සතන්හි බලවත් විශ්වාසයක් පැලපදියම්ව තිබේ.",99.66,97.26
"කුඩා දරු දැරියන්‌ උද්දාමයට පත්‌ කරන අලුත්‌ අවුරුදු ඇඳුම්‌, ආභාර පාන සහ කෙළි
සෙල්ලම්‌ දෙස බලා සිටින වැඩිහිටියන්‌ භූක්තිවිඳින්නේ අප්‍රමාණ සතුටකි.","කුඩා දරු දැරියන්‌ උද්දාමයට පත්‌ කරන අලූත්‌ අවුරුදු ඇඳුම්‌, கலை පාන සහ කෙළි
සෙල්ලම්‌ දෙස බලා සිටින වැඩිහිටියන්‌ භූක්තිවිඳින්නේ අප්‍රමාණ සතුටකි.","කුඩා දරු දැරියන් උද්දාමයට පත් කරන අලුත් අවුරුදු ඇඳුම්, ආහාර පාන සහ කෙළි
සෙල්ලම් දෙස බලා සිටින වැඩිහිටියන් භුක්ති විඳින්නේ අප්‍රමාණ සතුටකි.",96.84,96.09
"එසේම පරිසරයේ
ඇතිවන සොඳුරු වෙනස්කම්‌ අපට කායික මානසික සැනසීම ගෙන දෙයි.","එසේම පරිසරයේ
ඇතිවන සොඳුරු වෙනස්කම්‌ අපට කායික මානසික සැනසීම ගෙන දෙයි.","එසේම පරිසරයේ
ඇතිවන සොඳුරු වෙනස්කම් අපට කායික මානසික සැනසීම ගෙන දෙයි.",100.0,99.27
"සංකීර්ණ සිතුවිලි සමග ජීවන අරගලයක නිරත වැඩිහිටියන්‌ ඔවුනොවුන්‌ අතර නොහොඳ,
නෝක්කාඩු සමනය කර ගැනීම ද අවුරුදු සමයේ විශිෂ්ට ලක්ෂණයකි.","සංකීර්ණ සිතුචිලි සමග ජීවන අරගලයක නිරත වැඩිහිටියන්‌ ඔවුනොවුන්‌ අතර නොහොඳ
නෝක්කාඩු සමනය කර ගැනීම ද අවුරුදු සමයේ විශිෂ්ට ලක්ෂණයකි.","සංකීර්ණ සිතුවිලි සමග ජිවන අරගලයක නිරත වැඩිහිටියන් ඔවුනොවුන් අතර නොහොඳ
නෝක්කාඩු සමනය කර ගැනීම ද අවුරුදු සමයේ විශිෂ්ට ලක්ෂණයකි.",98.82,98.02
"සමස්ත ජනතාව කිසිදු භේදයකින්‌, වෙනසකින්‌ තොරව සෞම්‍ය හා දැහැම්‌ සිතිවිලි
ඇතිව සිංහල දෙමළ අලුත්‌ අවුරුදු චාරිත්‍ර සමග එක්වනු දැකීම මගේ අපේක්ෂාවයි.","සමස්ත ජනතාව කිසිදු හේදයකින්‌, වෙනසකින්‌ තොරව සෞම්‍ය හා දැහැම්‌ සිතිවිලි
ඇතිව සිංහල දෙමළ අලූත්‌ අවුරුදු චාරිත්‍ර සමග එක්වනු දැකීම මගේ අපේක්ෂාවයි.","සමස්ත ජනතාව කිසිදු භේදයකින්, වෙනසකින් තොරව සෞම්‍ය හා දැහැමි සිතිවිලි
ඇතිව සිංහල දෙමළ අලුත් අවුරුදු චාරිත්‍ර සමග එක්වනු දැකීම මගේ අපේක්ෂාවයි.",98.61,97.89
"අලුත්‌ අවුරුදු සමයේ දු දරුවන්ගෙන්‌ ඈත්ව රාජකාරියෙනි නිරත හා විදෙස්ගත සැම, කරන
කැප කිරීම ද මම ගෞරවයෙන්‌ සිගිපත්‌ කරමි.","අලුත්‌ අවුරුදු සමයේ දු දරුවන්ගෙන්‌ ඈත්ව රාජකාරියෙනි නිරත හා විදෙස්ගත සැම, කරන
කැප කිරීම ද මම ගෞරවයෙන්‌ සිගිපත්‌ කරම්‌.","අලුත් අවුරුදු සමයේ දු දරුවන්ගෙන් ඈත්ව රාජකාරියෙහි නිරත හා විදෙස්ගත සැම, කරන
කැප කිරීම ද මම ගෞරවයෙන් සිහිපත් කරමි.",98.72,96.52
"උදා වූ සිංහල දෙමළ අලුත්‌ අවුරුද්ද සැමට සෞභාග්‍යය, මනා සෞඛ්‍යය සහ සකුට සපිරි
සුබ අවුරුද්දක්‌ වේවා !","උදා වූ සිංහල දෙමළ අලුත්‌ අවුරුද්ද සැමට සෞභාග්‍යය, මනා සෞඛ්‍යය සහ සකුට සපිරි
සුබ අවුරුද්දක්‌ වේවා !","උදා වූ සිංහල දෙමළ අලුත් අවුරුද්ද සැමට සෞභාග්‍යය, මනා සෞඛ්‍යය සහ සතුට සපිරි
සුබ අවුරුද්දක් වේවා !",100.0,97.94
"'ගෝඨාභය රාජපක්ෂ

2021 අප්‍රේල්‌ මස 12 චන දින","ගෝඨාභය රාජපක්ෂ
2021 අප්‍රේල්‌ මස 12 චන දින
8 ලංකා පජාතාන්තික සමාජවාදී ජනරජය
இலங்கைச்‌ சனநாயக சோசலிசக்‌ குடியரசு.","2021 අප්‍රේල් මස 12 වන දින
ශ්‍රී ලංකා ප්‍රජාතාන්ත්‍රික සමාජවාදී ජනරජය
இலங்கைச் சனநாயக சோசலிசக் குடியரசு
Democratic Socialist Republic of Sri Lanka
ගෝඨාභය රාජපක්ෂ",53.85,13.66
original,ocr,visionOcr,Tessaract%,Vision%
"1 වැනි කොටස
පාර්ලිමේන්තු මන්ත්‍රීවරයන්‌ සඳහා වන චර්යා ධර්ම සංග්‍රහයේ අරමුණ
1.","1 වැනි කොටස
පාර්ලිමේන්තු මන්ත්‍රීවරයන්‌ සඳහා වන චර්යා ධර්ම
'සංග්‍රහයේ අරමුණ
1.","I වැනි කොටස
පාර්ලිමේන්තු මන්ත්‍රීවරයන් සඳහා වන චර්යා ධර්ම
සංග්‍රහයේ අරමුණ
1.",98.06,96.73
"(අ) පාර්ලිමේන්තු මන්ත්‍රීවරයන්‌ සඳහා වන චර්යා ධර්ම සංග්‍රහයේ (මෙහි මින්මතු ""චර්යා ධර්ම සංග්‍රහය” යනුවෙන්‌ හඳුන්වනු ලබන) අරමුණ වන්නේ පාර්ලිමේන්තු මන්ත්‍රීවරයන්‌ විසින්‌ පාර්ලිමේන්තුව සම්බන්ධයෙන්‌, ඔවුන්ගේ ඡන්දදායකයන්‌ සම්බන්ධයෙන්‌ සහ පොදුවේ මහජනයා සම්බන්ධයෙන්‌ සිය වගකීම්‌ ඉටු කරනු පිණිස සිය බලතල ක්‍රියාත්මක කිරීම, කාර්ය කිරීම සහ කර්තව්‍ය ඉටු කිරීම සඳහා ඔවුනට සහාය චීම යි.","(අ) පාර්ලිමේන්තු මන්ත්‍රීවරයයන්‌ සඳහා වන චර්යා
ධර්ම සංග්‍රහයේ (මෙහි මින්මතු ""චර්යා ධර්ම සංග්‍රහය”
යනුවෙන්‌ හඳුන්වනු ලබන) අරමුණ වන්නේ පාර්ලිමේන්තු
මන්ත්‍රීවරයන්‌ විසින්‌ පාර්ලිමේන්තුව සම්බන්ධයෙන්‌, ඔවුන්ගේ
ඡන්දදායකයන්‌ සම්බන්ධයෙන්‌ සහ පොදුවේ මහජනයා
සම්බන්ධයෙන්‌ සිය වගකීම්‌ ඉටු කරනු පිණිස සිය බලතල
ක්‍රියාත්මක කිරීම, කාර්ය 886 සහ කර්තව්‍ය ඉටු කිරීම සඳහා
ඔවුනට සහාය චීම යි.","(අ) පාර්ලිමේන්තු මන්ත්‍රීවරයන් සඳහා වන චර්යා
ධර්ම සංග්‍රහයේ (මෙහි මින්මතු ""චර්යා ධර්ම සංග්‍රහය”
යනුවෙන් හඳුන්වනු ලබන) අරමුණ වන්නේ පාර්ලිමේන්තු
මන්ත්‍රීවරයන් විසින් පාර්ලිමේන්තුව සම්බන්ධයෙන්, ඔවුන්ගේ
ඡන්දදායකයන් සම්බන්ධයෙන් සහ පොදුවේ මහජනයා
සම්බන්ධයෙන් සිය වගකීම් ඉටු කරනු පිණිස සිය බලතල
ක්‍රියාත්මක කිරීම, කාර්ය කිරීම සහ කර්තව්‍ය ඉටු කිරීම සඳහා
ඔවුනට සහාය වීම යි.",96.9,75.92
